,Serial_Number
1568,230250069
1569,230270028
1570,230270046
1571,230270055
1572,230280022
1573,230280042
1574,230280052
1575,230340132
1576,230340263
1577,230350005
1578,230350021
1579,230360040
1580,230360058
1581,230360091
1582,230360092
1583,230380007
1584,230380051
1585,230380091
1586,230390004
1587,230410036
1588,230410064
1589,230410074
1590,230410147
1591,230420099
1592,230420102
1593,230420107
1594,230420108
1595,230430029
1596,230430036
1597,230430075
1598,230440039
1601,230440042
1602,230440043
1603,230450027
1604,230450029
1605,230450036
1606,230450037
1607,230470052
1608,230470068
1609,230480005
1610,230480081
1611,230480084
1612,230480097
1613,230480120
1614,230490025
1615,230490027
1616,230500012
1617,230500037
1618,230500083
1619,230510005
1620,230530005
1621,230530009
1622,230540137
1623,240030017
1624,240030063
1625,240040014
1626,240110014
1627,240210005
1628,240230021
1629,240260004
1630,240310001
1631,240330020
1632,240350055
1633,240370060
1634,240380015
1635,240410029
1636,240430009
1637,240430018
1638,240440010
1639,240460028
1640,240460061
1641,240461100
1642,240462100
1643,240462400
1644,240462500
1645,240463500
1646,240465100
1647,240468900
1648,240469000
1651,240469500
1652,240469600
1653,240469609
1654,240469611
1655,240469622
1656,240469623
1657,240469624
1658,240469625
1659,240469626
1660,240469627
1661,240469628
1662,240470016
1663,240470017
1664,240490014
1665,240490083
1666,240500005
1667,240500017
1668,240500018
1669,240500019
1670,240510001
1671,240510018
1672,240510025
1673,240510029
1674,240510041
1675,240520001
1676,240520027
1677,240560035
1678,240570048
1679,240590073
1680,240590078
1681,240590093
1682,240620039
1683,250040037
1684,250090027
1685,250100002
1686,250100058
1687,250110068
1688,250140018
1689,250150011
1690,250150036
1691,250160007
1692,250160035
1693,250160040
1694,250190044
1695,250190049
1696,250210010
1697,250210011
1698,250210032
1701,250210060
1702,250210079
1703,250220003
1704,250220005
1705,250220006
1706,250220011
1707,250220036
1708,250220092
1709,250230010
1710,250250072
1711,250250073
1712,250250087
1713,250250093
1714,250270054
1715,250270073
1716,250270098
1717,250300015
1718,250310114
1719,250310216
1720,250320016
1721,250330032
1722,250350029
1723,250360042
1724,250380009
1725,250380029
1726,250430072
1727,250430089
1728,250450107
1729,250550006
1730,250580002
1731,250610002
1732,250610011
1733,250610012
1734,250620006
1735,250680038
1736,250680115
1737,250680116
1738,250680117
1739,250680121
1740,250680133
1741,250690066
1742,260030027
1743,260060016
1744,260060092
1745,260060106
1746,260070210
1747,260090067
1748,260100056
1751,260120011
1752,260190015
1753,260220068
1754,260220069
1755,260230050
1756,260230062
1757,260260008
1758,260270021
1759,260270057
1760,260290020
1761,260290055
1762,260300018
1763,260300037
1764,260300038
1765,260300052
1766,260300062
1767,260300105
1768,260300109
1769,260300112
1770,260300114
1771,260320070
1772,260320103
1773,260330057
1774,260330112
1775,260330156
1776,260340153
1777,260350023
1778,260360011
1779,260360016
1780,260360025
1781,260370015
1782,260370016
1783,260370017
1784,260370021
1785,260380005
1786,260390008
1787,260390013
1788,260390047
1789,260390074
1790,260390080
1791,260390082
1792,260420029
1793,260420030
1794,260420045
1795,260440026
1796,260440027
1797,260440033
1798,260450044
1801,260450099
1802,260470024
1803,260470075
1804,260480085
1805,260490046
1806,260510103
1807,260510113
1808,260510121
1809,260540020
1810,260550066
1811,260560046
1812,260570021
1813,260570096
1814,260570097
1815,260570142
1816,260580056
1817,260600019
1818,260600053
1819,260600054
1820,260600068
1821,260600074
1822,260600085
1823,260610015
1824,260610164
1825,260630063
1826,260630198
1827,260640330
1828,260650210
1829,260650219
1830,260660002
1831,260660067
1832,260660090
1833,260660130
1834,260670002
1835,260680008
1836,260680020
1837,260680124
1838,260690052
1839,260730056
1840,260730061
1841,260730073
1842,260730095
1843,260730096
1844,270010025
1845,270010071
1846,270010094
1847,270010123
1848,270020052
1851,270050082
1852,270050083
1853,270050084
1854,270050086
1855,270070011
1856,270070025
1857,270070094
1858,270070175
1859,270070176
1860,270070177
1861,270080043
1862,270080048
1863,270090022
1864,270090131
1865,270090166
1866,270100015
1867,270100016
1868,270110016
1869,270110020
1870,270110023
1871,270110052
1872,270140026
1873,270150011
1874,270150080
1875,270170139
1876,270220009
1877,270220042
1878,270220051
1879,270230004
1880,270270028
1881,270300015
1882,270300091
1883,270300096
1884,270300097
1885,270310067
1886,270320017
1887,270320054
1888,270320102
1889,270320125
1890,270320151
1891,270320164
1892,270330220
1893,270330227
1894,270330229
1895,270340016
1896,270340025
1897,270340049
1898,270340051
1901,270340082
1902,270360005
1903,270360006
1904,270360009
1905,270360010
1906,270360017
1907,270360020
1908,270360021
1909,270360022
1910,270360023
1911,270360024
1912,270360025
1913,270360026
1914,270360027
1915,270360028
1916,270360029
1917,270360031
1918,270370003
1919,270370042
1920,270370095
1921,270370096
1922,270370104
1923,270390037
1924,270390045
1925,270390069
1926,270390295
1927,270390435
1928,270400011
1929,270400041
1930,270410017
1931,270430002
1932,270430059
1933,270450016
1934,270450026
1935,270460008
